_id,date,center_name,attendance_count
49150624,2025-10-27,Brookline Community Center,31
49150625,2025-10-27,Ormsby Community Center,7
49150626,2025-10-27,Paulson Community Center,19
49150627,2025-10-27,Phillips Community Center,57
49150628,2025-10-27,Warrington Community Center,59
49150629,2025-10-27,Magee Community Center,23
49150630,2025-10-27,Jefferson Community Center,39
49150631,2025-10-27,West Penn Community Center,72
49150632,2025-10-26,Magee Community Center,1
49150633,2025-10-25,Ormsby Community Center,1
49150634,2025-10-25,Magee Community Center,3
49150635,2025-10-25,West Penn Community Center,36
49150636,2025-10-24,Brookline Community Center,22
49150637,2025-10-24,Arlington Community Center,30
49150638,2025-10-24,Ormsby Community Center,7
49150639,2025-10-24,Phillips Community Center,4
49150640,2025-10-24,Paulson Community Center,20
49150641,2025-10-24,Warrington Community Center,39
49150642,2025-10-24,Magee Community Center,16
49150643,2025-10-24,West Penn Community Center,78
49150644,2025-10-23,Ammon Community Center,36
49150645,2025-10-23,Arlington Community Center,15
49150646,2025-10-23,Brookline Community Center,35
49150647,2025-10-23,Ormsby Community Center,4
49150648,2025-10-23,Paulson Community Center,15
49150649,2025-10-23,Phillips Community Center,25
49150650,2025-10-23,Warrington Community Center,25
49150651,2025-10-23,Magee Community Center,20
49150652,2025-10-23,Jefferson Community Center,60
49150653,2025-10-23,West Penn Community Center,150
49150654,2025-10-22,Ammon Community Center,22
49150655,2025-10-22,Brookline Community Center,29
49150656,2025-10-22,Arlington Community Center,47
49150657,2025-10-22,Ormsby Community Center,13
49150658,2025-10-22,Phillips Community Center,79
49150659,2025-10-22,Paulson Community Center,14
49150660,2025-10-22,Warrington Community Center,20
49150661,2025-10-22,Jefferson Community Center,48
49150662,2025-10-22,Magee Community Center,24
49150663,2025-10-22,West Penn Community Center,56
49150664,2025-10-21,Arlington Community Center,17
49150665,2025-10-21,Brookline Community Center,49
49150666,2025-10-21,Ormsby Community Center,5
49150667,2025-10-21,Paulson Community Center,13
49150668,2025-10-21,Phillips Community Center,50
49150669,2025-10-21,Warrington Community Center,69
49150670,2025-10-21,Magee Community Center,29
49150671,2025-10-21,Jefferson Community Center,44
49150672,2025-10-21,West Penn Community Center,141
