_id,date,center_name,attendance_count
49155435,2023-10-12,Brookline Community Center,35
49155436,2023-10-12,Ormsby Community Center,21
49155437,2023-10-12,Paulson Community Center,18
49155438,2023-10-12,Phillips Community Center,32
49155439,2023-10-12,Warrington Community Center,27
49155440,2023-10-12,Magee Community Center,37
49155441,2023-10-12,West Penn Community Center,16
49155442,2023-10-11,Arlington Community Center,89
49155443,2023-10-11,Ammon Community Center,28
49155444,2023-10-11,Brookline Community Center,37
49155445,2023-10-11,Ormsby Community Center,5
49155446,2023-10-11,Phillips Community Center,49
49155447,2023-10-11,Paulson Community Center,14
49155448,2023-10-11,Warrington Community Center,33
49155449,2023-10-11,Magee Community Center,20
49155450,2023-10-11,West Penn Community Center,39
49155451,2023-10-10,Ammon Community Center,32
49155452,2023-10-10,Arlington Community Center,6
49155453,2023-10-10,Brookline Community Center,27
49155454,2023-10-10,Ormsby Community Center,5
49155455,2023-10-10,Paulson Community Center,16
49155456,2023-10-10,Phillips Community Center,56
49155457,2023-10-10,Warrington Community Center,17
49155458,2023-10-10,Magee Community Center,29
49155459,2023-10-10,West Penn Community Center,134
49155460,2023-10-09,Arlington Community Center,30
49155461,2023-10-09,Ammon Community Center,20
49155462,2023-10-09,Brookline Community Center,32
49155463,2023-10-09,Ormsby Community Center,16
49155464,2023-10-09,Phillips Community Center,38
49155465,2023-10-09,Paulson Community Center,11
49155466,2023-10-09,Warrington Community Center,16
49155467,2023-10-09,Magee Community Center,42
49155468,2023-10-09,West Penn Community Center,32
49155469,2023-10-07,Arlington Community Center,94
49155470,2023-10-07,Brookline Community Center,3
49155471,2023-10-07,Ormsby Community Center,1
49155472,2023-10-07,Paulson Community Center,7
49155473,2023-10-07,Phillips Community Center,79
49155474,2023-10-07,Magee Community Center,5
49155475,2023-10-07,West Penn Community Center,34
49155476,2023-10-06,Arlington Community Center,14
49155477,2023-10-06,Ammon Community Center,18
49155478,2023-10-06,Brookline Community Center,28
49155479,2023-10-06,Ormsby Community Center,12
49155480,2023-10-06,Phillips Community Center,31
49155481,2023-10-06,Paulson Community Center,10
49155482,2023-10-06,Warrington Community Center,23
49155483,2023-10-06,Magee Community Center,37
49155484,2023-10-06,West Penn Community Center,38
49155485,2023-10-05,Ammon Community Center,39
49155486,2023-10-05,Arlington Community Center,11
49155487,2023-10-05,Brookline Community Center,41
49155488,2023-10-05,Ormsby Community Center,8
49155489,2023-10-05,Paulson Community Center,14
49155490,2023-10-05,Phillips Community Center,29
49155491,2023-10-05,Warrington Community Center,24
49155492,2023-10-05,Magee Community Center,29
49155493,2023-10-05,West Penn Community Center,126
49155494,2023-10-04,Arlington Community Center,53
49155495,2023-10-04,Ammon Community Center,29
49155496,2023-10-04,Brookline Community Center,27
49155497,2023-10-04,Ormsby Community Center,10
49155498,2023-10-04,Phillips Community Center,64
49155499,2023-10-04,Paulson Community Center,18
49155500,2023-10-04,Warrington Community Center,31
49155501,2023-10-04,Magee Community Center,39
49155502,2023-10-04,Jefferson Community Center,1
49155503,2023-10-04,West Penn Community Center,31
49155504,2023-10-03,Ammon Community Center,53
49155505,2023-10-03,Arlington Community Center,5
49155506,2023-10-03,Brookline Community Center,48
49155507,2023-10-03,Ormsby Community Center,2
49155508,2023-10-03,Paulson Community Center,18
49155509,2023-10-03,Phillips Community Center,54
49155510,2023-10-03,Warrington Community Center,24
49155511,2023-10-03,Magee Community Center,23
49155512,2023-10-03,West Penn Community Center,119
49155513,2023-10-02,Arlington Community Center,13
49155514,2023-10-02,Ammon Community Center,23
49155515,2023-10-02,Brookline Community Center,45
49155516,2023-10-02,Ormsby Community Center,12
49155517,2023-10-02,Phillips Community Center,62
49155518,2023-10-02,Paulson Community Center,16
49155519,2023-10-02,Warrington Community Center,14
49155520,2023-10-02,Magee Community Center,32
49155521,2023-10-02,West Penn Community Center,28
49155522,2023-09-30,Ammon Community Center,43
49155523,2023-09-30,Brookline Community Center,2
49155524,2023-09-30,Ormsby Community Center,5
49155525,2023-09-30,Paulson Community Center,3
49155526,2023-09-30,Phillips Community Center,5
49155527,2023-09-30,Magee Community Center,4
49155528,2023-09-30,West Penn Community Center,10
49155529,2023-09-29,Ammon Community Center,9
49155530,2023-09-29,Arlington Community Center,13
49155531,2023-09-29,Brookline Community Center,24
49155532,2023-09-29,Ormsby Community Center,7
49155533,2023-09-29,Phillips Community Center,32
49155534,2023-09-29,Paulson Community Center,11
49155535,2023-09-29,Warrington Community Center,15
49155536,2023-09-29,Magee Community Center,26
49155537,2023-09-29,West Penn Community Center,30
49155538,2023-09-28,Arlington Community Center,6
49155539,2023-09-28,Ammon Community Center,49
49155540,2023-09-28,Brookline Community Center,38
49155541,2023-09-28,Ormsby Community Center,9
49155542,2023-09-28,Paulson Community Center,5
49155543,2023-09-28,Phillips Community Center,56
49155544,2023-09-28,Warrington Community Center,31
49155545,2023-09-28,Magee Community Center,35
49155546,2023-09-28,West Penn Community Center,90
49155547,2023-09-27,Ammon Community Center,112
49155548,2023-09-27,Arlington Community Center,39
49155549,2023-09-27,Brookline Community Center,24
49155550,2023-09-27,Ormsby Community Center,9
49155551,2023-09-27,Phillips Community Center,59
49155552,2023-09-27,Paulson Community Center,16
49155553,2023-09-27,Warrington Community Center,23
49155554,2023-09-27,Magee Community Center,35
49155555,2023-09-27,West Penn Community Center,35
49155556,2023-09-26,Arlington Community Center,8
49155557,2023-09-26,Ammon Community Center,140
49155558,2023-09-26,Brookline Community Center,44
49155559,2023-09-26,Ormsby Community Center,13
49155560,2023-09-26,Paulson Community Center,16
49155561,2023-09-26,Phillips Community Center,60
49155562,2023-09-26,Warrington Community Center,19
49155563,2023-09-26,Magee Community Center,25
49155564,2023-09-26,West Penn Community Center,112
49155565,2023-09-25,Ammon Community Center,57
49155566,2023-09-25,Arlington Community Center,19
49155567,2023-09-25,Brookline Community Center,34
49155568,2023-09-25,Ormsby Community Center,15
49155569,2023-09-25,Phillips Community Center,43
49155570,2023-09-25,Paulson Community Center,12
49155571,2023-09-25,Warrington Community Center,17
49155572,2023-09-25,Magee Community Center,24
49155573,2023-09-25,Jefferson Community Center,21
49155574,2023-09-25,West Penn Community Center,42
49155575,2023-09-23,Brookline Community Center,8
49155576,2023-09-23,Paulson Community Center,4
49155577,2023-09-23,Phillips Community Center,4
49155578,2023-09-23,Warrington Community Center,1
49155579,2023-09-23,West Penn Community Center,28
49155580,2023-09-22,Arlington Community Center,10
49155581,2023-09-22,Ammon Community Center,43
49155582,2023-09-22,Brookline Community Center,21
49155583,2023-09-22,Ormsby Community Center,6
49155584,2023-09-22,Phillips Community Center,22
49155585,2023-09-22,Paulson Community Center,7
49155586,2023-09-22,Warrington Community Center,18
49155587,2023-09-22,Magee Community Center,39
49155588,2023-09-22,West Penn Community Center,35
49155589,2023-09-21,Ammon Community Center,25
49155590,2023-09-21,Arlington Community Center,3
49155591,2023-09-21,Brookline Community Center,36
49155592,2023-09-21,Ormsby Community Center,9
49155593,2023-09-21,Paulson Community Center,8
49155594,2023-09-21,Phillips Community Center,45
49155595,2023-09-21,Warrington Community Center,23
49155596,2023-09-21,Magee Community Center,46
49155597,2023-09-21,West Penn Community Center,88
49155598,2023-09-20,Arlington Community Center,28
49155599,2023-09-20,Ammon Community Center,118
49155600,2023-09-20,Brookline Community Center,21
49155601,2023-09-20,Ormsby Community Center,5
49155602,2023-09-20,Phillips Community Center,48
49155603,2023-09-20,Paulson Community Center,13
49155604,2023-09-20,Warrington Community Center,24
49155605,2023-09-20,Magee Community Center,33
49155606,2023-09-20,West Penn Community Center,23
49155607,2023-09-19,Ammon Community Center,84
49155608,2023-09-19,Arlington Community Center,5
49155609,2023-09-19,Brookline Community Center,41
49155610,2023-09-19,Ormsby Community Center,9
49155611,2023-09-19,Paulson Community Center,9
49155612,2023-09-19,Phillips Community Center,62
49155613,2023-09-19,Warrington Community Center,19
49155614,2023-09-19,Magee Community Center,28
49155615,2023-09-18,Arlington Community Center,9
49155616,2023-09-18,Ammon Community Center,90
49155617,2023-09-18,Brookline Community Center,39
49155618,2023-09-18,Ormsby Community Center,11
49155619,2023-09-18,Phillips Community Center,51
49155620,2023-09-18,Paulson Community Center,10
49155621,2023-09-18,Warrington Community Center,17
49155622,2023-09-18,Magee Community Center,41
49155623,2023-09-18,West Penn Community Center,34
49155624,2023-09-16,Brookline Community Center,3
49155625,2023-09-16,Ormsby Community Center,1
49155626,2023-09-16,Paulson Community Center,6
49155627,2023-09-16,Phillips Community Center,1
49155628,2023-09-16,West Penn Community Center,22
49155629,2023-09-15,Ammon Community Center,101
49155630,2023-09-15,Brookline Community Center,21
49155631,2023-09-15,Ormsby Community Center,5
49155632,2023-09-15,Phillips Community Center,16
49155633,2023-09-15,Paulson Community Center,14
49155634,2023-09-15,Warrington Community Center,21
49155635,2023-09-15,Magee Community Center,15
49155636,2023-09-15,West Penn Community Center,24
49155637,2023-09-14,Ammon Community Center,89
49155638,2023-09-14,Arlington Community Center,9
49155639,2023-09-14,Brookline Community Center,31
49155640,2023-09-14,Ormsby Community Center,12
49155641,2023-09-14,Paulson Community Center,11
49155642,2023-09-14,Phillips Community Center,50
49155643,2023-09-14,Warrington Community Center,13
49155644,2023-09-14,Magee Community Center,25
49155645,2023-09-14,West Penn Community Center,22
49155646,2023-09-13,Arlington Community Center,4
49155647,2023-09-13,Ammon Community Center,104
49155648,2023-09-13,Brookline Community Center,13
49155649,2023-09-13,Ormsby Community Center,10
49155650,2023-09-13,Phillips Community Center,10
49155651,2023-09-13,Paulson Community Center,11
49155652,2023-09-13,Warrington Community Center,25
49155653,2023-09-13,Magee Community Center,42
49155654,2023-09-13,West Penn Community Center,38
49155655,2023-09-12,Ammon Community Center,20
49155656,2023-09-12,Brookline Community Center,45
49155657,2023-09-12,Ormsby Community Center,11
49155658,2023-09-12,Paulson Community Center,10
49155659,2023-09-12,Phillips Community Center,45
49155660,2023-09-12,Warrington Community Center,18
49155661,2023-09-12,Magee Community Center,30
49155662,2023-09-12,West Penn Community Center,49
49155663,2023-09-11,Ammon Community Center,1
49155664,2023-09-11,Arlington Community Center,15
49155665,2023-09-11,Brookline Community Center,25
49155666,2023-09-11,Ormsby Community Center,13
49155667,2023-09-11,Phillips Community Center,52
49155668,2023-09-11,Paulson Community Center,7
49155669,2023-09-11,Warrington Community Center,38
49155670,2023-09-11,Magee Community Center,48
49155671,2023-09-11,West Penn Community Center,56
49155672,2023-09-09,Ormsby Community Center,7
49155673,2023-09-09,Phillips Community Center,3
49155674,2023-09-09,West Penn Community Center,10
49155675,2023-09-08,Ammon Community Center,20
49155676,2023-09-08,Brookline Community Center,31
49155677,2023-09-08,Ormsby Community Center,10
49155678,2023-09-08,Phillips Community Center,34
49155679,2023-09-08,Paulson Community Center,12
49155680,2023-09-08,Warrington Community Center,16
49155681,2023-09-08,Magee Community Center,18
49155682,2023-09-08,West Penn Community Center,21
49155683,2023-09-07,Ammon Community Center,30
49155684,2023-09-07,Arlington Community Center,4
49155685,2023-09-07,Brookline Community Center,24
49155686,2023-09-07,Ormsby Community Center,18
49155687,2023-09-07,Paulson Community Center,13
49155688,2023-09-07,Phillips Community Center,70
49155689,2023-09-07,Warrington Community Center,18
49155690,2023-09-07,Magee Community Center,27
49155691,2023-09-07,West Penn Community Center,42
49155692,2023-09-06,Arlington Community Center,2
49155693,2023-09-06,Ammon Community Center,23
49155694,2023-09-06,Brookline Community Center,20
49155695,2023-09-06,Ormsby Community Center,12
49155696,2023-09-06,Phillips Community Center,24
49155697,2023-09-06,Paulson Community Center,3
49155698,2023-09-06,Warrington Community Center,11
49155699,2023-09-06,Magee Community Center,19
49155700,2023-09-06,West Penn Community Center,28
49155701,2023-09-05,Ammon Community Center,26
49155702,2023-09-05,Arlington Community Center,3
49155703,2023-09-05,Brookline Community Center,34
49155704,2023-09-05,Ormsby Community Center,12
49155705,2023-09-05,Paulson Community Center,10
49155706,2023-09-05,Phillips Community Center,19
49155707,2023-09-05,Warrington Community Center,29
49155708,2023-09-05,Magee Community Center,35
49155709,2023-09-05,West Penn Community Center,37
49155710,2023-09-01,Ammon Community Center,5
49155711,2023-09-01,Brookline Community Center,24
49155712,2023-09-01,Ormsby Community Center,5
49155713,2023-09-01,Phillips Community Center,42
49155714,2023-09-01,Paulson Community Center,13
49155715,2023-09-01,Warrington Community Center,18
49155716,2023-09-01,Magee Community Center,7
49155717,2023-09-01,West Penn Community Center,47
49155718,2023-08-31,Ammon Community Center,31
49155719,2023-08-31,Brookline Community Center,38
49155720,2023-08-31,Ormsby Community Center,8
49155721,2023-08-31,Paulson Community Center,9
49155722,2023-08-31,Phillips Community Center,50
49155723,2023-08-31,Warrington Community Center,35
49155724,2023-08-31,Magee Community Center,11
49155725,2023-08-31,West Penn Community Center,20
49155726,2023-08-30,Ammon Community Center,26
49155727,2023-08-30,Arlington Community Center,1
49155728,2023-08-30,Brookline Community Center,20
49155729,2023-08-30,Ormsby Community Center,7
49155730,2023-08-30,Phillips Community Center,48
49155731,2023-08-30,Paulson Community Center,7
49155732,2023-08-30,Warrington Community Center,22
49155733,2023-08-30,Magee Community Center,38
49155734,2023-08-30,Jefferson Community Center,9
49155735,2023-08-30,West Penn Community Center,29
49155736,2023-08-29,Arlington Community Center,6
49155737,2023-08-29,Ammon Community Center,23
49155738,2023-08-29,Brookline Community Center,31
49155739,2023-08-29,Ormsby Community Center,15
49155740,2023-08-29,Paulson Community Center,10
49155741,2023-08-29,Phillips Community Center,28
49155742,2023-08-29,Warrington Community Center,28
49155743,2023-08-29,Magee Community Center,21
49155744,2023-08-29,West Penn Community Center,20
49155745,2023-08-28,Ammon Community Center,29
49155746,2023-08-28,Arlington Community Center,10
49155747,2023-08-28,Brookline Community Center,23
49155748,2023-08-28,Ormsby Community Center,12
49155749,2023-08-28,Phillips Community Center,52
49155750,2023-08-28,Paulson Community Center,12
49155751,2023-08-28,Warrington Community Center,6
49155752,2023-08-28,Magee Community Center,31
49155753,2023-08-28,West Penn Community Center,59
49155754,2023-08-26,Ormsby Community Center,2
49155755,2023-08-26,Paulson Community Center,5
49155756,2023-08-26,Warrington Community Center,2
49155757,2023-08-26,West Penn Community Center,19
49155758,2023-08-25,Ammon Community Center,3
49155759,2023-08-25,Brookline Community Center,21
49155760,2023-08-25,Ormsby Community Center,11
49155761,2023-08-25,Paulson Community Center,5
49155762,2023-08-25,Phillips Community Center,22
49155763,2023-08-25,Warrington Community Center,13
49155764,2023-08-25,Magee Community Center,15
49155765,2023-08-25,West Penn Community Center,29
49155766,2023-08-24,Ammon Community Center,7
49155767,2023-08-24,Arlington Community Center,3
49155768,2023-08-24,Brookline Community Center,39
49155769,2023-08-24,Ormsby Community Center,8
49155770,2023-08-24,Phillips Community Center,45
49155771,2023-08-24,Paulson Community Center,6
49155772,2023-08-24,Warrington Community Center,11
49155773,2023-08-24,Magee Community Center,24
49155774,2023-08-24,West Penn Community Center,26
49155775,2023-08-23,Arlington Community Center,2
49155776,2023-08-23,Ammon Community Center,23
49155777,2023-08-23,Brookline Community Center,1
49155778,2023-08-23,Ormsby Community Center,5
49155779,2023-08-23,Paulson Community Center,5
49155780,2023-08-23,Phillips Community Center,31
49155781,2023-08-23,Warrington Community Center,10
49155782,2023-08-23,Magee Community Center,35
49155783,2023-08-23,Jefferson Community Center,33
49155784,2023-08-23,West Penn Community Center,25
49155785,2023-08-22,Ammon Community Center,20
49155786,2023-08-22,Arlington Community Center,4
49155787,2023-08-22,Brookline Community Center,17
49155788,2023-08-22,Ormsby Community Center,11
49155789,2023-08-22,Phillips Community Center,45
49155790,2023-08-22,Paulson Community Center,1
49155791,2023-08-22,Warrington Community Center,11
49155792,2023-08-22,Magee Community Center,23
49155793,2023-08-22,West Penn Community Center,28
49155794,2023-08-21,Arlington Community Center,3
49155795,2023-08-21,Ammon Community Center,17
49155796,2023-08-21,Ormsby Community Center,8
49155797,2023-08-21,Paulson Community Center,6
49155798,2023-08-21,Phillips Community Center,40
49155799,2023-08-21,Warrington Community Center,20
49155800,2023-08-21,Magee Community Center,12
49155801,2023-08-21,West Penn Community Center,62
49155802,2023-08-20,Ammon Community Center,1
49155803,2023-08-19,Ammon Community Center,6
49155804,2023-08-19,Paulson Community Center,11
49155805,2023-08-19,Warrington Community Center,2
49155806,2023-08-19,West Penn Community Center,12
49155807,2023-08-18,Ammon Community Center,17
49155808,2023-08-18,Arlington Community Center,1
49155809,2023-08-18,Brookline Community Center,21
49155810,2023-08-18,Ormsby Community Center,2
49155811,2023-08-18,Paulson Community Center,11
49155812,2023-08-18,Phillips Community Center,40
49155813,2023-08-18,Warrington Community Center,1
49155814,2023-08-18,Magee Community Center,11
49155815,2023-08-18,West Penn Community Center,513
49155816,2023-08-17,Arlington Community Center,17
49155817,2023-08-17,Ammon Community Center,39
49155818,2023-08-17,Brookline Community Center,13
49155819,2023-08-17,Ormsby Community Center,7
49155820,2023-08-17,Phillips Community Center,42
49155821,2023-08-17,Paulson Community Center,7
49155822,2023-08-17,Warrington Community Center,6
49155823,2023-08-17,Magee Community Center,9
49155824,2023-08-17,West Penn Community Center,49
49155825,2023-08-16,Ammon Community Center,19
49155826,2023-08-16,Arlington Community Center,7
49155827,2023-08-16,Brookline Community Center,24
49155828,2023-08-16,Ormsby Community Center,4
49155829,2023-08-16,Paulson Community Center,6
49155830,2023-08-16,Phillips Community Center,32
49155831,2023-08-16,Warrington Community Center,17
49155832,2023-08-16,Magee Community Center,15
49155833,2023-08-16,West Penn Community Center,28
49155834,2023-08-15,Ammon Community Center,14
49155835,2023-08-15,Brookline Community Center,38
49155836,2023-08-15,Ormsby Community Center,8
49155837,2023-08-15,Phillips Community Center,40
49155838,2023-08-15,Paulson Community Center,3
49155839,2023-08-15,Warrington Community Center,8
49155840,2023-08-15,Magee Community Center,8
49155841,2023-08-15,Jefferson Community Center,24
49155842,2023-08-15,West Penn Community Center,49
49155843,2023-08-14,Ammon Community Center,13
49155844,2023-08-14,Arlington Community Center,9
49155845,2023-08-14,Brookline Community Center,31
49155846,2023-08-14,Ormsby Community Center,4
49155847,2023-08-14,Paulson Community Center,4
49155848,2023-08-14,Phillips Community Center,35
49155849,2023-08-14,Warrington Community Center,9
49155850,2023-08-14,Jefferson Community Center,28
49155851,2023-08-14,Magee Community Center,10
49155852,2023-08-14,West Penn Community Center,47
49155853,2023-08-12,Ormsby Community Center,2
49155854,2023-08-12,Phillips Community Center,2
49155855,2023-08-12,Paulson Community Center,6
49155856,2023-08-11,Arlington Community Center,1
49155857,2023-08-11,Ammon Community Center,30
49155858,2023-08-11,Brookline Community Center,23
49155859,2023-08-11,Ormsby Community Center,7
49155860,2023-08-11,Phillips Community Center,30
49155861,2023-08-11,Warrington Community Center,14
49155862,2023-08-11,Magee Community Center,18
49155863,2023-08-11,West Penn Community Center,44
49155864,2023-08-10,Ammon Community Center,48
49155865,2023-08-10,Arlington Community Center,3
49155866,2023-08-10,Brookline Community Center,33
49155867,2023-08-10,Ormsby Community Center,6
49155868,2023-08-10,Phillips Community Center,27
49155869,2023-08-10,Paulson Community Center,14
49155870,2023-08-10,Warrington Community Center,7
49155871,2023-08-10,Magee Community Center,9
49155872,2023-08-10,Jefferson Community Center,29
49155873,2023-08-10,West Penn Community Center,39
49155874,2023-08-09,Ammon Community Center,53
49155875,2023-08-09,Brookline Community Center,32
49155876,2023-08-09,Ormsby Community Center,13
49155877,2023-08-09,Paulson Community Center,10
49155878,2023-08-09,Phillips Community Center,37
49155879,2023-08-09,Warrington Community Center,19
49155880,2023-08-09,Jefferson Community Center,26
49155881,2023-08-09,Magee Community Center,17
49155882,2023-08-09,West Penn Community Center,120
49155883,2023-08-08,Ammon Community Center,61
49155884,2023-08-08,Arlington Community Center,1
49155885,2023-08-08,Brookline Community Center,32
49155886,2023-08-08,Ormsby Community Center,11
49155887,2023-08-08,Phillips Community Center,35
49155888,2023-08-08,Warrington Community Center,15
49155889,2023-08-08,Magee Community Center,22
49155890,2023-08-08,Jefferson Community Center,11
49155891,2023-08-08,West Penn Community Center,52
49155892,2023-08-07,Arlington Community Center,1
49155893,2023-08-07,Ammon Community Center,20
49155894,2023-08-07,Brookline Community Center,50
49155895,2023-08-07,Ormsby Community Center,3
49155896,2023-08-07,Phillips Community Center,28
49155897,2023-08-07,Paulson Community Center,5
49155898,2023-08-07,Warrington Community Center,4
49155899,2023-08-07,Jefferson Community Center,26
49155900,2023-08-07,Magee Community Center,27
49155901,2023-08-07,West Penn Community Center,38
49155902,2023-08-05,Ammon Community Center,1
49155903,2023-08-05,Ormsby Community Center,8
49155904,2023-08-05,Paulson Community Center,9
49155905,2023-08-05,Warrington Community Center,1
49155906,2023-08-05,West Penn Community Center,10
49155907,2023-08-04,Ammon Community Center,13
49155908,2023-08-04,Brookline Community Center,36
49155909,2023-08-04,Ormsby Community Center,16
49155910,2023-08-04,Paulson Community Center,10
49155911,2023-08-04,Phillips Community Center,42
49155912,2023-08-04,Warrington Community Center,101
49155913,2023-08-04,Magee Community Center,10
49155914,2023-08-04,West Penn Community Center,44
49155915,2023-08-03,Ammon Community Center,3
49155916,2023-08-03,Brookline Community Center,25
49155917,2023-08-03,Ormsby Community Center,6
49155918,2023-08-03,Phillips Community Center,34
49155919,2023-08-03,Warrington Community Center,99
49155920,2023-08-03,Magee Community Center,8
49155921,2023-08-03,Jefferson Community Center,23
49155922,2023-08-03,West Penn Community Center,38
49155923,2023-08-02,Ammon Community Center,5
49155924,2023-08-02,Arlington Community Center,8
49155925,2023-08-02,Brookline Community Center,29
49155926,2023-08-02,Ormsby Community Center,4
49155927,2023-08-02,Phillips Community Center,15
49155928,2023-08-02,Paulson Community Center,5
49155929,2023-08-02,Warrington Community Center,83
49155930,2023-08-02,Jefferson Community Center,16
49155931,2023-08-02,Magee Community Center,3
49155932,2023-08-02,West Penn Community Center,32
49155933,2023-08-01,Arlington Community Center,2
49155934,2023-08-01,Ammon Community Center,9
49155935,2023-08-01,Brookline Community Center,36
49155936,2023-08-01,Ormsby Community Center,12
49155937,2023-08-01,Paulson Community Center,10
49155938,2023-08-01,Phillips Community Center,30
49155939,2023-08-01,Warrington Community Center,7
49155940,2023-08-01,Magee Community Center,11
49155941,2023-08-01,Jefferson Community Center,18
49155942,2023-08-01,West Penn Community Center,35
49155943,2023-07-31,Ammon Community Center,15
49155944,2023-07-31,Arlington Community Center,4
49155945,2023-07-31,Brookline Community Center,41
49155946,2023-07-31,Ormsby Community Center,5
49155947,2023-07-31,Phillips Community Center,27
49155948,2023-07-31,Paulson Community Center,10
49155949,2023-07-31,Warrington Community Center,92
49155950,2023-07-31,Jefferson Community Center,21
49155951,2023-07-31,Magee Community Center,21
49155952,2023-07-31,West Penn Community Center,35
49155953,2023-07-29,Ormsby Community Center,7
49155954,2023-07-29,Paulson Community Center,3
49155955,2023-07-29,West Penn Community Center,33
49155956,2023-07-28,Arlington Community Center,1
49155957,2023-07-28,Ammon Community Center,9
49155958,2023-07-28,Brookline Community Center,27
49155959,2023-07-28,Ormsby Community Center,7
49155960,2023-07-28,Paulson Community Center,11
49155961,2023-07-28,Phillips Community Center,8
49155962,2023-07-28,Warrington Community Center,86
49155963,2023-07-28,Magee Community Center,17
49155964,2023-07-28,Jefferson Community Center,27
49155965,2023-07-28,West Penn Community Center,33
49155966,2023-07-27,Ammon Community Center,1
49155967,2023-07-27,Arlington Community Center,7
49155968,2023-07-27,Brookline Community Center,49
49155969,2023-07-27,Ormsby Community Center,8
49155970,2023-07-27,Phillips Community Center,11
49155971,2023-07-27,Paulson Community Center,10
49155972,2023-07-27,Warrington Community Center,109
49155973,2023-07-27,Magee Community Center,16
49155974,2023-07-27,West Penn Community Center,15
49155975,2023-07-26,Arlington Community Center,11
49155976,2023-07-26,Ammon Community Center,7
49155977,2023-07-26,Brookline Community Center,37
49155978,2023-07-26,Ormsby Community Center,6
49155979,2023-07-26,Paulson Community Center,14
49155980,2023-07-26,Phillips Community Center,14
49155981,2023-07-26,Warrington Community Center,90
49155982,2023-07-26,Magee Community Center,17
49155983,2023-07-26,Jefferson Community Center,22
49155984,2023-07-26,West Penn Community Center,26
49155985,2023-07-25,Ammon Community Center,9
49155986,2023-07-25,Brookline Community Center,40
49155987,2023-07-25,Ormsby Community Center,3
49155988,2023-07-25,Phillips Community Center,38
49155989,2023-07-25,Paulson Community Center,11
49155990,2023-07-25,Warrington Community Center,82
49155991,2023-07-25,Jefferson Community Center,20
49155992,2023-07-25,Magee Community Center,15
49155993,2023-07-25,West Penn Community Center,69
49155994,2023-07-24,Ammon Community Center,10
49155995,2023-07-24,Arlington Community Center,4
49155996,2023-07-24,Brookline Community Center,52
49155997,2023-07-24,Ormsby Community Center,12
49155998,2023-07-24,Paulson Community Center,1
49155999,2023-07-24,Phillips Community Center,10
49156000,2023-07-24,Warrington Community Center,91
49156001,2023-07-24,Magee Community Center,12
49156002,2023-07-24,Jefferson Community Center,22
49156003,2023-07-24,West Penn Community Center,39
49156004,2023-07-22,Ammon Community Center,1
49156005,2023-07-22,Ormsby Community Center,3
49156006,2023-07-22,Phillips Community Center,1
49156007,2023-07-22,Paulson Community Center,11
49156008,2023-07-22,West Penn Community Center,10
49156009,2023-07-21,Ammon Community Center,15
49156010,2023-07-21,Arlington Community Center,1
49156011,2023-07-21,Brookline Community Center,22
49156012,2023-07-21,Ormsby Community Center,6
49156013,2023-07-21,Paulson Community Center,8
49156014,2023-07-21,Phillips Community Center,11
49156015,2023-07-21,Warrington Community Center,59
49156016,2023-07-21,Magee Community Center,18
49156017,2023-07-21,West Penn Community Center,23
49156018,2023-07-20,Arlington Community Center,14
49156019,2023-07-20,Ammon Community Center,12
49156020,2023-07-20,Brookline Community Center,27
49156021,2023-07-20,Ormsby Community Center,6
49156022,2023-07-20,Phillips Community Center,17
49156023,2023-07-20,Paulson Community Center,9
49156024,2023-07-20,Warrington Community Center,64
49156025,2023-07-20,Magee Community Center,20
49156026,2023-07-20,West Penn Community Center,87
49156027,2023-07-19,Ammon Community Center,18
49156028,2023-07-19,Brookline Community Center,13
49156029,2023-07-19,Ormsby Community Center,7
49156030,2023-07-19,Paulson Community Center,6
49156031,2023-07-19,Phillips Community Center,34
49156032,2023-07-19,Warrington Community Center,6
49156033,2023-07-19,Magee Community Center,12
49156034,2023-07-19,West Penn Community Center,31
49156035,2023-07-18,Ammon Community Center,13
49156036,2023-07-18,Brookline Community Center,30
49156037,2023-07-18,Ormsby Community Center,8
49156038,2023-07-18,Phillips Community Center,23
49156039,2023-07-18,Paulson Community Center,7
49156040,2023-07-18,Magee Community Center,8
49156041,2023-07-18,West Penn Community Center,100
49156042,2023-07-17,Ammon Community Center,15
49156043,2023-07-17,Brookline Community Center,27
49156044,2023-07-17,Ormsby Community Center,14
49156045,2023-07-17,Paulson Community Center,11
49156046,2023-07-17,Phillips Community Center,19
49156047,2023-07-17,Warrington Community Center,81
49156048,2023-07-17,Magee Community Center,34
49156049,2023-07-17,West Penn Community Center,37
49156050,2023-07-15,Ammon Community Center,1
49156051,2023-07-15,Ormsby Community Center,3
49156052,2023-07-15,Phillips Community Center,2
49156053,2023-07-15,Paulson Community Center,11
49156054,2023-07-15,West Penn Community Center,47
49156055,2023-07-14,Ammon Community Center,7
49156056,2023-07-14,Brookline Community Center,43
49156057,2023-07-14,Ormsby Community Center,7
49156058,2023-07-14,Paulson Community Center,5
49156059,2023-07-14,Phillips Community Center,20
49156060,2023-07-14,Warrington Community Center,25
49156061,2023-07-14,Magee Community Center,7
49156062,2023-07-14,Jefferson Community Center,20
49156063,2023-07-14,West Penn Community Center,29
49156064,2023-07-13,Ammon Community Center,79
49156065,2023-07-13,Arlington Community Center,3
49156066,2023-07-13,Brookline Community Center,45
49156067,2023-07-13,Ormsby Community Center,4
49156068,2023-07-13,Phillips Community Center,53
